column_name,measure,value_2020_2,value_2021_1,values_equal
ElectoralWard2011Code,minimum_value,NULL,NULL,TRUE
ElectoralWard2011Code,maximum_value,NULL,NULL,TRUE
ElectoralWard2016Code,data_type,char(9),char(9),TRUE
ElectoralWard2016Code,null_count,224174,224827,FALSE
ElectoralWard2016Code,distinct_values,0,0,TRUE
ElectoralWard2016Code,minimum_value,NULL,NULL,TRUE
ElectoralWard2016Code,maximum_value,NULL,NULL,TRUE
ElectoralWard2018Code,data_type,char(9),char(9),TRUE
ElectoralWard2018Code,null_count,224174,224827,FALSE
ElectoralWard2018Code,distinct_values,0,0,TRUE
ElectoralWard2018Code,minimum_value,NULL,NULL,TRUE
ElectoralWard2018Code,maximum_value,NULL,NULL,TRUE
ElectoralWard2019Code,data_type,char(9),char(9),TRUE
ElectoralWard2019Code,null_count,0,0,TRUE
ElectoralWard2019Code,distinct_values,354,354,TRUE
ElectoralWard2019Code,minimum_value,S13002516,S13002516,TRUE
ElectoralWard2019Code,maximum_value,S13003134,S13003134,TRUE
EuropeanParlCon,data_type,int,int,TRUE
EuropeanParlCon,null_count,224174,224827,FALSE
EuropeanParlCon,distinct_values,0,0,TRUE
EuropeanParlCon,minimum_value,NULL,NULL,TRUE
EuropeanParlCon,maximum_value,NULL,NULL,TRUE
GridlinkCoordinateIndicator,data_type,char(1),char(1),TRUE
GridlinkCoordinateIndicator,null_count,224174,224827,FALSE
GridlinkCoordinateIndicator,distinct_values,0,0,TRUE
GridlinkCoordinateIndicator,minimum_value,NULL,NULL,TRUE
GridlinkCoordinateIndicator,maximum_value,NULL,NULL,TRUE
GridReferenceEasting,data_type,char(6),char(6),TRUE
GridReferenceEasting,null_count,0,0,TRUE
GridReferenceEasting,distinct_values,108502,108644,FALSE
GridReferenceEasting,minimum_value,100139,100139,TRUE
GridReferenceEasting,maximum_value,99862,99862,TRUE
GridReferenceNorthing,data_type,char(7),char(7),TRUE
GridReferenceNorthing,null_count,0,0,TRUE
GridReferenceNorthing,distinct_values,100728,100898,FALSE
GridReferenceNorthing,minimum_value,1000601,1000061,FALSE
GridReferenceNorthing,maximum_value,999700,999700,TRUE
HealthBoardArea1995Code,data_type,char(2),char(2),TRUE
HealthBoardArea1995Code,null_count,0,0,TRUE
HealthBoardArea1995Code,distinct_values,15,15,TRUE
HealthBoardArea1995Code,minimum_value,1,1,TRUE
HealthBoardArea1995Code,maximum_value,15,15,TRUE
HealthBoardArea2006Code,data_type,char(9),char(9),TRUE
HealthBoardArea2006Code,null_count,0,0,TRUE
HealthBoardArea2006Code,distinct_values,14,14,TRUE
HealthBoardArea2006Code,minimum_value,S08000001,S08000001,TRUE
HealthBoardArea2006Code,maximum_value,S08000014,S08000014,TRUE
HealthBoardArea2014Code,data_type,char(9),char(9),TRUE
HealthBoardArea2014Code,null_count,224174,224827,FALSE
HealthBoardArea2014Code,distinct_values,0,0,TRUE
HealthBoardArea2014Code,minimum_value,NULL,NULL,TRUE
HealthBoardArea2014Code,maximum_value,NULL,NULL,TRUE
HealthBoardArea2018Code,data_type,char(9),char(9),TRUE
HealthBoardArea2018Code,null_count,224174,224827,FALSE
HealthBoardArea2018Code,distinct_values,0,0,TRUE
HealthBoardArea2018Code,minimum_value,NULL,NULL,TRUE
HealthBoardArea2018Code,maximum_value,NULL,NULL,TRUE
HealthBoardArea2019Code,data_type,char(9),char(9),TRUE
HealthBoardArea2019Code,null_count,0,0,TRUE
HealthBoardArea2019Code,distinct_values,14,14,TRUE
HealthBoardArea2019Code,minimum_value,S08000015,S08000015,TRUE
HealthBoardArea2019Code,maximum_value,S08000032,S08000032,TRUE
HouseholdCount,data_type,int,int,TRUE
HouseholdCount,null_count,0,0,TRUE
HouseholdCount,distinct_values,124,125,FALSE
HouseholdCount,minimum_value,0,0,TRUE
HouseholdCount,maximum_value,683,683,TRUE
IntegrationAuthority2016Code,data_type,char(9),char(9),TRUE
IntegrationAuthority2016Code,null_count,224174,224827,FALSE
IntegrationAuthority2016Code,distinct_values,0,0,TRUE
IntegrationAuthority2016Code,minimum_value,NULL,NULL,TRUE
